episode,score,steps,total_reward
0,0,50,-8.099999999999998
1,0,50,-6.299999999999999
2,0,50,-8.099999999999998
3,0,50,-7.499999999999998
4,0,50,-6.899999999999999
5,0,50,-8.099999999999998
6,0,50,-6.899999999999999
7,0,50,-8.7
8,0,50,-8.099999999999998
9,0,50,-7.499999999999998
10,0,50,-6.299999999999999
11,0,50,-5.699999999999998
12,0,50,-7.499999999999998
13,0,50,-8.099999999999998
14,0,50,-6.899999999999999
15,0,50,-5.099999999999998
16,0,50,-5.699999999999998
17,0,50,-7.499999999999998
18,0,50,-8.099999999999998
19,0,50,-8.099999999999998
20,0,50,-5.699999999999998
21,0,50,-6.299999999999999
22,0,50,-7.499999999999998
23,0,50,-8.099999999999998
24,0,50,-6.899999999999999
25,0,50,-8.099999999999998
26,0,50,-8.099999999999998
27,0,50,-8.099999999999998
28,0,50,-7.499999999999998
29,0,50,-6.899999999999999
30,0,50,-5.699999999999998
31,0,50,-6.899999999999999
32,0,50,-4.499999999999998
33,0,50,-8.7
34,0,50,-7.499999999999998
35,0,50,-8.7
36,0,50,-5.099999999999998
37,0,50,-6.899999999999999
38,0,50,-7.499999999999998
39,0,50,-5.699999999999998
40,0,50,-8.099999999999998
41,0,50,-8.7
42,0,50,-8.099999999999998
43,0,50,-6.899999999999999
44,0,50,-8.7
45,0,50,-5.699999999999998
46,0,50,-8.099999999999998
47,0,50,-7.499999999999998
48,0,50,-8.099999999999998
49,0,50,-4.499999999999998
50,0,50,-7.499999999999998
51,0,50,-8.099999999999998
52,0,50,-6.899999999999999
53,0,50,-6.899999999999999
54,0,50,-7.499999999999998
55,0,50,-8.099999999999998
56,0,50,-8.099999999999998
57,0,50,-7.499999999999998
58,0,50,-6.899999999999999
59,0,50,-7.499999999999998
60,0,50,-8.099999999999998
61,0,50,-5.699999999999998
62,0,50,-8.7
63,0,50,-8.099999999999998
64,0,50,-8.099999999999998
65,0,50,-8.099999999999998
66,0,50,-8.7
67,0,50,-8.099999999999998
68,0,50,-8.099999999999998
69,0,50,-6.899999999999999
70,0,50,-6.899999999999999
71,0,50,-8.099999999999998
72,0,50,-7.499999999999998
73,0,50,-8.099999999999998
74,0,50,-9.299999999999999
75,0,50,-7.499999999999998
76,0,50,-6.899999999999999
77,0,50,-7.499999999999998
78,0,50,-6.899999999999999
79,0,50,-7.499999999999998
80,0,50,-5.099999999999998
81,0,50,-8.7
82,0,50,-6.899999999999999
83,0,50,-8.099999999999998
84,0,50,-8.099999999999998
85,0,50,-6.299999999999999
86,0,50,-8.099999999999998
87,0,50,-6.899999999999999
88,0,50,-7.499999999999998
89,0,50,-5.699999999999998
90,0,50,-8.7
91,0,50,-7.499999999999998
92,0,50,-6.899999999999999
93,0,50,-8.099999999999998
94,0,50,-8.7
95,0,50,-8.7
96,0,50,-6.899999999999999
97,0,50,-8.099999999999998
98,0,50,-7.499999999999998
99,0,50,-8.099999999999998
